iter	RMSE
0	0.0008907223563
1	0.0008903777045
2	0.0008902953629
3	0.0008900319158
4	0.0008899150924
5	0.000889847111
6	0.0008897240307
7	0.0008896047919
8	0.0008893091435
9	0.0008891617439
10	0.0008890414116
11	0.0008887499733
12	0.0008884588956
13	0.0008882513319
14	0.0008879439746
15	0.0008878047629
16	0.0008876670511
17	0.0008874253738
18	0.0008873611812
19	0.0008869349837
20	0.0008866583048
21	0.0008865007004
22	0.0008861228044
23	0.0008859383016
24	0.0008858254415
25	0.0008855972011
26	0.0008853631658
27	0.000885203479
28	0.0008849816967
29	0.0008848382992
30	0.0008847221111
31	0.0008846334243
32	0.0008844851953
33	0.0008843382987
34	0.000884115425
35	0.0008838597865
36	0.0008836945751
37	0.0008836448214
38	0.0008836146277
39	0.0008834624363
40	0.0008833514537
41	0.0008832395643
42	0.0008829669705
43	0.0008829393447
44	0.0008829008308
45	0.00088284515
46	0.0008828152015
47	0.0008826578969
48	0.0008825875969
49	0.000882404512
50	0.0008821568766
51	0.0008819438573
52	0.0008815582754
53	0.0008814642335
54	0.0008812626025
55	0.0008811107409
56	0.0008809797658
57	0.0008809446783
58	0.0008808474343
59	0.0008808158099
60	0.0008805426889
61	0.0008803981161
62	0.0008801307039
63	0.0008800186413
64	0.0008799405318
65	0.0008798581982
66	0.0008796322371
67	0.0008793882498
68	0.0008793356987
69	0.0008792975995
70	0.0008792477312
71	0.0008790200081
72	0.0008789182336
73	0.0008788812036
74	0.0008788287488
75	0.0008787936675
76	0.0008786613727
77	0.0008785015386
78	0.0008784427942
79	0.0008783495396
80	0.0008781671295
81	0.000878017763
82	0.0008778498625
83	0.0008776929247
84	0.0008776573665
85	0.000877472946
86	0.0008773154448
87	0.0008772513865
88	0.0008771735118
89	0.0008770977863
90	0.0008770182652
91	0.0008768508866
92	0.0008766592999
93	0.0008765936645
94	0.0008764905726
95	0.0008764144182
96	0.0008763297187
97	0.0008762126456
98	0.0008761635508
99	0.0008760810392
100	0.0008759235857
101	0.0008758731431
102	0.0008757622144
103	0.0008757055187
104	0.0008755053253
105	0.0008752833928
106	0.0008751775535
107	0.0008750913848
108	0.0008749415123
109	0.0008748525354
110	0.0008747824099
111	0.0008746889457
